CoinPair,TimeFrame,TradeType,Pattern,Attempt,PriceAtTimeOfSignal,PriceAtTimeOfSignalReal,PriceRelatedToPattern,TimeOfSignal,TimeOfInsertion,IsInsertedLate,PriceTarget,PriceTargetTime,ProfitPotentialPercent,IsSignalOn,NumTimesMissingInInput,VolumeAtSignalCandlestick,VolumeAverage,IsVolumeSurge,TimeOfSignalInvalidation,PriceAtTimeOfSignalInvalidation,ReasonForSignalInvalidation,PriceAtSignalTargetTime,ProfitPercentAtSignalTargetTime,TenCandlestickTime,PriceAtTenCandlestickTime,FailedToGetPriceAtTenCandlestickTime,FailedToGetPriceAtSignalTargetTime,ProfitPercentAtTenCandlestickTime,PriceBestReached,PriceCurrent,CurrentTime,EntryOrderId,EntryExecutedQty,EntryAvgPrice,EntryOrderStatus,ExitLimitOrderId,ExitLimitOrderExecutedQty,ExitLimitOrderAvgPrice,ExitLimitOrderStatus,ExitMarketOrderId,ExitMarketOrderExecutedQty,ExitMarketOrderAvgPrice,ExitMarketOrderStatus,Realized,RealizedPercent,UnRealized,UnRealizedPercent,IsPositionExited,ProfitPercentAtTimeOfSignalInvalidation,MaxLoss,MaxLossPercent,MaxLossTime,IsPriceTargetMet,PriceTargetMetTime
BTTUSDT,FIFTEEN_MINUTES,SELL,"Channel Up",1,2.39e-06,,0.0,"2022-01-19 09:00",,,0.002254,"2022-01-19 10:11",-96336.06,0,6,,,,"2022-01-29 11:18",0.0,BACKLOG_AND_COLD_START,,,"2022-01-19 10:11",,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACMUSDT,HOUR,SELL,Triangle,1,0.15498339,4.647,0.0,"2022-02-06 13:00","2022-02-06 13:34",1,4.4743,"2022-02-06 18:11",-2786.95,0,1,5904,965.37,1,"2022-02-06 14:05",0.0,BACKLOG_AND_COLD_START,4.55,-2835.79847492044,"2022-02-06 23:00",4.55,0,,-2835.79847492044,,,,,,,,,,,,,,,,,,,,,,4.55801661,2940.97103567034,"2022-02-06 13:31",0,
